Name,Gender,Age,domain,courses did,skills,certificates or course,Interested,interested career preference,intrested company,Interested Type of Books,Management or Technical,hard/smart worker,Suggested Job Role,raw_role,mapped_role
Akshay Kaninde,Male,29,software/technology,yes,full stack,game development,IOT,system developer,Service Based,Dictionaries,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Akshay Milind Sarpe,Male,30,software/technology,no,r programming,web tech,poor,cloud computing,security,no,Religion-Spirituality,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Akshita Gupta ,Male,26,software/technology,no,information security,system designing,programming,testing,Web Services,Art,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Albin Baby ,Male,33,software/technology,yes,r programming,system designing,cloud computing,testing,Cloud Services,Religion-Spirituality,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aleena Marymol,Female,27,software/technology,yes,app development,database security,networks,testing,Testing and Maintainance Services,Self help,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ali,Male,31,software/technology,no,app development,game development,networks,security,Cloud Services,Self help,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aliya Ruhi,Female,29,software/technology,no,full stack,system designing,data engineering,cloud computing,SAaS services,Horror,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Allu Venkata Ramana,Male,35,software/technology,no,r programming,testing,cloud computing,Business process analyst,Sales and Marketing,Dictionaries,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Amaan Ansari,Male,24,software/technology,yes,machine learning,game development,IOT,Business process analyst,product development,Science fiction,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Amalorpawarani. S,Female,28,software/technology,yes,full stack,data science,Software Engineering,cloud computing,product development,Trilogy,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aman,Male,29,software/technology,no,python,system designing,cloud computing,testing,BPA,Biographies,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aman Shukla,Male,34,software/technology,no,hadoop,system designing,programming,developer,BPA,Horror,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Amandeep Singh,Male,27,software/technology,yes,machine learning,data science,Computer Architecture,cloud computing,BPA,Science fiction,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
AMBUJ KUMAR,Male,30,software/technology,yes,app development,hacking,programming,security,Product based,Encyclopedias,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Amey ,Male,26,software/technology,yes,distro making,web tech,medium,data engineering,Business process analyst,no,Drama,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Amrit Riyat,Male,28,software/technology,no,distro making,testing,data engineering,security,product development,Prayer books,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Amrutha Devarapalli,Male,25,software/technology,no,r programming,web tech,excellent,data engineering,Business process analyst,yes,Horror,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ananda V,Male,31,software/technology,yes,information security,cloud computing,Software Engineering,cloud computing,Sales and Marketing,Mystery,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anandhi,Female,28,software/technology,yes,machine learning,testing,hacking,system developer,BPA,Self help,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anandhu G,Male,30,software/technology,yes,distro making,database security,cloud computing,system developer,Service Based,Trilogy,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anant,Male,27,software/technology,yes,information security,data science,Computer Architecture,testing,Sales and Marketing,Drama,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anant Paliwal ,Male,29,software/technology,no,machine learning,hacking,hacking,Business process analyst,BPA,Guide,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anchit ,Male,32,software/technology,yes,distro making,system designing,Software Engineering,cloud computing,Product based,Poetry,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aneesh Pillai,Male,35,software/technology,yes,distro making,hacking,Computer Architecture,security,Web Services,Encyclopedias,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aniket Nagnath Pawar,Male,29,software/technology,yes,distro making,hacking,data engineering,developer,SAaS services,Health,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anil kumar,Male,33,software/technology,no,shell programming,database security,programming,testing,Web Services,Poetry,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anil Kumar Verma,Male,27,software/technology,yes,app development,web tech,medium,Software Engineering,developer,no,Math,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anila Dada,Male,30,software/technology,yes,full stack,cloud computing,cloud computing,cloud computing,Testing and Maintainance Services,Autobiographies,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ANILKUMAR DAMERA,Male,28,software/technology,no,distro making,web tech,poor,data engineering,developer,no,Self help,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anirudh Chawla,Male,32,software/technology,no,machine learning,game development,parallel computing,Business process analyst,Cloud Services,Guide,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anisha swain,Female,30,software/technology,yes,app development,game development,Management,Business process analyst,Sales and Marketing,Biographies,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ANISHKUMAR K E,Male,26,software/technology,no,information security,data science,Computer Architecture,testing,Service Based,Childrens,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anjali,Female,28,software/technology,yes,shell programming,cloud computing,IOT,system developer,Finance,Guide,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anjali Bajaj,Female,35,software/technology,no,distro making,system designing,parallel computing,system developer,BPA,Dictionaries,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anjali Panigrahi ,Female,29,software/technology,yes,information security,web tech,poor,hacking,security,no,Diaries,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anjali Prajapati,Female,27,software/technology,yes,machine learning,data science,programming,security,BPA,Anthology,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anjali Prajapati ,Female,31,software/technology,yes,shell programming,testing,cloud computing,Business process analyst,Sales and Marketing,Series,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anju,Female,40,software/technology,yes,distro making,database security,data engineering,security,Testing and Maintainance Services,Guide,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ankita Agarwalla,Female,22,software/technology,yes,machine learning,system designing,hacking,cloud computing,product development,Anthology,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ANKUSH DUTTA,Male,23,software/technology,yes,shell programming,web tech,medium,programming,security,yes,Satire,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anmol Arora ,Male,24,software/technology,yes,full stack,database security,programming,system developer,Finance,Cookbooks,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ann Maria David ,Male,25,software/technology,no,information security,database security,Computer Architecture,testing,Cloud Services,Guide,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Annamalai V,Male,26,software/technology,no,information security,system designing,networks,system developer,Testing and Maintainance Services,Fantasy,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anonymous,Prefer not to say,27,software/technology,no,machine learning,system designing,Computer Architecture,developer,Finance,Religion-Spirituality,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ansari Aiman ,Female,28,software/technology,no,app development,system designing,Software Engineering,system developer,Web Services,Journals,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ansari Ali Mohammad,Male,29,software/technology,no,information security,database security,Computer Architecture,developer,Finance,Drama,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ansari Iqra Bazm Khurshid,Female,30,software/technology,yes,r programming,data science,hacking,system developer,Finance,Diaries,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ansari Nasima ,Female,31,software/technology,yes,hadoop,web tech,poor,networks,testing,no,Biographies,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ansari sameer,Male,32,software/technology,yes,information security,database security,networks,Business process analyst,Service Based,Religion-Spirituality,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ansari vali mohammad ,Male,33,software/technology,no,hadoop,web tech,medium,parallel computing,security,yes,Art,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anshu Kumar ,Male,34,software/technology,yes,python,testing,networks,developer,Web Services,Self help,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anshul Batra,Male,35,software/technology,no,r programming,testing,hacking,security,Finance,History,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anshumali Singh,Female,36,software/technology,yes,r programming,data science,parallel computing,testing,BPA,Diaries,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anudeep reddy,Male,37,software/technology,yes,information security,data science,parallel computing,Business process analyst,Web Services,Science fiction,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anushka Diwate,Female,38,software/technology,no,shell programming,game development,hacking,Business process analyst,Web Services,Math,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Anusuya,Female,39,software/technology,no,r programming,system designing,IOT,Business process analyst,SAaS services,Satire,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Appala rao,Male,40,software/technology,no,full stack,cloud computing,Computer Architecture,Business process analyst,Cloud Services,Drama,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Applav Gautam ,Male,41,software/technology,yes,r programming,testing,hacking,testing,Testing and Maintainance Services,Drama,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aprajita Sharma,Female,22,software/technology,no,information security,hacking,parallel computing,Business process analyst,Testing and Maintainance Services,Journals,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Apurva s solanke,Female,23,software/technology,yes,hadoop,data science,programming,Business process analyst,BPA,Health,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aqsa momin,Female,24,software/technology,no,hadoop,system designing,IOT,developer,Product based,Encyclopedias,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aquib,Male,25,software/technology,no,r programming,game development,Software Engineering,security,Cloud Services,Mystery,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arasavalli Hari Venkata Hanish,Male,26,software/technology,no,app development,testing,Management,cloud computing,Sales and Marketing,Art,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arfaz Khan,Male,27,software/technology,no,distro making,testing,networks,developer,SAaS services,Action and Adventure,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ARFAZ KHAN,Male,28,software/technology,yes,distro making,testing,programming,system developer,BPA,Fantasy,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arish,Female,29,software/technology,no,full stack,system designing,IOT,Business process analyst,Web Services,Health,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arjun R V,Male,30,software/technology,no,distro making,hacking,data engineering,developer,BPA,Prayer books,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aromal ,Male,31,software/technology,no,machine learning,web tech,excellent,Computer Architecture,cloud computing,no,Trilogy,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arpit Srivastava,Male,32,software/technology,yes,hadoop,data science,Management,cloud computing,product development,Poetry,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arshad,Male,23,software/technology,yes,hadoop,database security,Computer Architecture,cloud computing,Testing and Maintainance Services,Encyclopedias,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ARSHAD KHAN,Male,34,software/technology,yes,r programming,game development,Software Engineering,developer,Product based,Science,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ARUMUGA SUBHASHINI N,Female,35,software/technology,no,app development,game development,parallel computing,system developer,SAaS services,Satire,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arumugam. K,Male,36,software/technology,no,distro making,testing,Computer Architecture,security,product development,Travel,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arun Janardhan,Male,37,software/technology,no,app development,web tech,medium,data engineering,testing,yes,Romance,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arun sai,Male,38,software/technology,no,r programming,cloud computing,Computer Architecture,Business process analyst,Service Based,Mystery,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arundhathi ,Female,39,software/technology,yes,distro making,testing,cloud computing,cloud computing,Cloud Services,Cookbooks,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arunkumar.R,Male,40,software/technology,no,information security,system designing,cloud computing,Business process analyst,Testing and Maintainance Services,Guide,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arunpativada ,Male,41,software/technology,no,full stack,web tech,excellent,networks,security,no,Religion-Spirituality,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Arvind Kumar Yadav,Male,22,software/technology,yes,machine learning,game development,Computer Architecture,security,Cloud Services,Math,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
arvind kumar yadav,Male,23,software/technology,no,distro making,cloud computing,IOT,testing,Finance,Guide,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Aryan Vig,Male,24,software/technology,no,app development,hacking,networks,security,Sales and Marketing,Childrens,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Asad Ansari ,Male,25,software/technology,yes,distro making,hacking,Software Engineering,Business process analyst,Service Based,Travel,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Asha,Female,26,software/technology,no,shell programming,cloud computing,hacking,cloud computing,Web Services,Romance,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ashi mishra,Female,27,software/technology,no,hadoop,data science,IOT,Business process analyst,BPA,Dictionaries,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ashis parija ,Male,28,software/technology,no,full stack,testing,Computer Architecture,testing,Testing and Maintainance Services,Dictionaries,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ashish Singh,Male,29,software/technology,no,machine learning,game development,networks,system developer,Product based,Religion-Spirituality,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
ASHOK RAO,Male,30,software/technology,yes,app development,data science,Software Engineering,testing,Cloud Services,Science fiction,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ashok Reddy Bhimavarapu ,Male,31,software/technology,yes,r programming,game development,Computer Architecture,developer,Web Services,Drama,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ashutosh,Male,32,software/technology,no,hadoop,hacking,IOT,security,Web Services,Childrens,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ashwini mane ,Female,23,software/technology,no,r programming,data science,data engineering,cloud computing,Sales and Marketing,Health,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Asit Ray,Male,24,software/technology,yes,python,testing,IOT,testing,Testing and Maintainance Services,Childrens,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Asiya Shaikh,Female,25,software/technology,no,information security,hacking,cloud computing,system developer,Finance,Biographies,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Astha Singh,Female,26,software/technology,yes,distro making,data science,Computer Architecture,developer,Cloud Services,Fantasy,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Astuti,Female,37,software/technology,yes,r programming,data science,networks,testing,Finance,Art,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Atmajeet Das,Male,38,software/technology,yes,r programming,hacking,hacking,cloud computing,product development,Cookbooks,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Atul Kumar,Male,39,software/technology,no,app development,system designing,programming,security,Product based,Trilogy,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Auothapuram Anand kumar,Male,40,software/technology,yes,information security,system designing,IOT,security,product development,Religion-Spirituality,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avani Kapadia,Female,41,software/technology,yes,shell programming,testing,hacking,Business process analyst,Sales and Marketing,Health,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avinash,Male,22,software/technology,no,shell programming,web tech,poor,Software Engineering,system developer,no,Autobiographies,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avinash Guniganti ,Male,23,software/technology,yes,information security,web tech,medium,programming,Business process analyst,yes,Trilogy,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avinash mishra,Male,24,software/technology,yes,r programming,database security,IOT,Business process analyst,Cloud Services,Fantasy,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avinash Prakash Salunke,Male,25,software/technology,yes,hadoop,testing,IOT,system developer,Service Based,Dictionaries,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avisnash,Male,26,software/technology,yes,hadoop,hacking,hacking,Business process analyst,Service Based,Childrens,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avnit Rai ,Male,27,software/technology,yes,python,game development,networks,cloud computing,Sales and Marketing,Self help,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Avvaru Bharathi ,Female,28,software/technology,yes,hadoop,cloud computing,data engineering,cloud computing,SAaS services,Encyclopedias,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ayman sk,Male,29,software/technology,no,app development,game development,IOT,system developer,product development,Science fiction,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B Abhishek Naidu,Male,30,software/technology,no,r programming,hacking,Computer Architecture,cloud computing,Web Services,Action and Adventure,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B Jyothsna,Female,31,software/technology,no,machine learning,database security,programming,developer,Service Based,Anthology,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B THEJA KUMAR ,Male,32,software/technology,no,information security,testing,hacking,system developer,SAaS services,Diaries,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B. Lavanya,Female,33,software/technology,no,distro making,data science,Software Engineering,cloud computing,product development,Horror,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B. Lokesh,Male,34,software/technology,no,shell programming,cloud computing,cloud computing,security,Service Based,Action and Adventure,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B.Ashwitha Rani,Female,35,software/technology,no,machine learning,database security,parallel computing,system developer,BPA,Autobiographies,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
B.Joel,Male,36,software/technology,no,shell programming,data science,parallel computing,cloud computing,Testing and Maintainance Services,Health,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
BALA AMUTHAN B,Male,37,software/technology,yes,r programming,data science,Computer Architecture,system developer,Service Based,Action and Adventure,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
BALAMURUGAN A,Male,38,software/technology,yes,hadoop,hacking,Management,system developer,Cloud Services,Biographies,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Barath. P,Male,39,software/technology,no,shell programming,system designing,Computer Architecture,security,BPA,Self help,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Baskar R,Male,40,software/technology,yes,r programming,data science,programming,testing,Product based,Guide,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Begari rahul,Male,41,software/technology,no,r programming,system designing,Computer Architecture,Business process analyst,product development,Action and Adventure,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Ben y,Male,22,software/technology,no,r programming,hacking,IOT,developer,Service Based,Romance,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bendi Yaswanth Sri Sai Sasthry,Male,23,software/technology,no,machine learning,system designing,programming,system developer,BPA,Childrens,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhagyalaxmi Biswal,Female,24,software/technology,no,shell programming,testing,Computer Architecture,cloud computing,Testing and Maintainance Services,Health,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhagyashree A Awasthi,Female,25,software/technology,yes,python,hacking,parallel computing,Business process analyst,Service Based,Science,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhanu Meka,Male,26,software/technology,no,information security,hacking,Computer Architecture,system developer,BPA,Religion-Spirituality,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bharat,Male,27,software/technology,yes,r programming,web tech,poor,IOT,system developer,yes,Self help,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bharat Tanwar,Male,28,software/technology,yes,information security,web tech,medium,Management,testing,no,Mystery,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bharath ,Male,29,software/technology,no,machine learning,cloud computing,programming,testing,product development,Math,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bharathi P,Male,30,software/technology,yes,r programming,cloud computing,Computer Architecture,cloud computing,SAaS services,Guide,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
BHARATHI. R,Female,31,software/technology,no,information security,cloud computing,Management,security,BPA,Romance,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
BharathVasan,Male,32,software/technology,yes,shell programming,cloud computing,data engineering,cloud computing,Finance,Childrens,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhargav Saligram,Male,33,software/technology,yes,distro making,database security,hacking,Business process analyst,Product based,Guide,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
BhargavaLakshmi,Female,34,software/technology,no,distro making,game development,networks,developer,Service Based,Series,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhargavi ponduri ,Female,35,software/technology,yes,information security,system designing,IOT,developer,SAaS services,Fantasy,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhaskar,Male,36,software/technology,no,shell programming,hacking,data engineering,security,Service Based,Drama,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bhavana,Female,37,software/technology,no,shell programming,cloud computing,IOT,cloud computing,Cloud Services,Romance,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bibhu lenka,Male,38,software/technology,yes,full stack,web tech,excellent,parallel computing,system developer,yes,Journals,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bibhu lenka,Male,39,software/technology,yes,machine learning,data science,parallel computing,cloud computing,Product based,Fantasy,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bikash,Male,40,software/technology,yes,r programming,testing,programming,Business process analyst,SAaS services,Cookbooks,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Biki Maharana ,Male,41,software/technology,yes,shell programming,hacking,hacking,system developer,BPA,Drama,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Biren Kumar Sahoo,Male,22,software/technology,yes,machine learning,testing,Software Engineering,testing,Web Services,Health,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Biswa,Male,21,software/technology,yes,information security,hacking,cloud computing,Business process analyst,Service Based,Autobiographies,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Biswojit das,Male,20,software/technology,yes,full stack,system designing,Software Engineering,security,Cloud Services,Health,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bobin Shaji,Male,22,software/technology,no,full stack,game development,hacking,cloud computing,product development,Horror,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Bommana Pravallika,Female,21,software/technology,yes,app development,game development,parallel computing,cloud computing,product development,Satire,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Brijendra kumar dubey,Male,23,software/technology,no,shell programming,game development,networks,developer,Service Based,Action and Adventure,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Budati siva Koteswara Rao ,Male,22,software/technology,yes,shell programming,data science,data engineering,security,Web Services,Science fiction,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
C sivalingamurthy,Male,20,software/technology,no,distro making,web tech,medium,data engineering,developer,no,Journals,Technical,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chaitali,Female,21,software/technology,no,python,hacking,Computer Architecture,Business process analyst,product development,Science fiction,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chaitali Madhukar Chavak,Female,23,software/technology,yes,information security,testing,cloud computing,security,Service Based,Guide,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chaitra,Female,22,software/technology,no,distro making,hacking,IOT,system developer,Sales and Marketing,Action and Adventure,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chamarthi venkata Sai prasanna kumar,Male,21,software/technology,yes,full stack,database security,Software Engineering,developer,BPA,Science,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chanda verma ,Female,22,software/technology,no,shell programming,data science,Software Engineering,security,Web Services,Action and Adventure,Technical,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chandaka suneetha,Female,21,software/technology,no,python,game development,data engineering,system developer,Finance,Journals,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chandra bhan yadav,Male,23,software/technology,yes,r programming,testing,parallel computing,testing,product development,Guide,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chandra sai kolli,Male,22,software/technology,yes,app development,database security,cloud computing,testing,Product based,Horror,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chandralekha,Female,20,software/technology,yes,app development,system designing,Software Engineering,system developer,Finance,Horror,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chetan Aher,Male,21,software/technology,yes,information security,web tech,poor,Computer Architecture,system developer,yes,Journals,Management,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chetan wanjare,Male,23,software/technology,yes,information security,database security,data engineering,testing,BPA,Drama,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chiluka Pragnesh ,Male,22,software/technology,yes,app development,database security,programming,system developer,product development,Dictionaries,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chintu,Male,20,software/technology,yes,r programming,database security,Management,security,Web Services,Self help,Management,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chirag Garg ,Male,21,software/technology,no,shell programming,hacking,networks,cloud computing,product development,Biographies,Technical,smart worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chirag Gupta ,Male,23,software/technology,no,full stack,cloud computing,data engineering,cloud computing,product development,Drama,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
Chirag Manavar ,Male,22,software/technology,no,shell programming,testing,Management,system developer,Service Based,Encyclopedias,Management,hard worker,Mobile Applications Developer,Mobile Applications Developer,software_engineering
