Name,Gender,Age,domain,courses did,skills,certificates or course,Interested,interested career preference,intrested company,Interested Type of Books,Management or Technical,hard/smart worker,Suggested Job Role,skills_norm
Srinivas,Male,33,software/technology,no,machine learning,system designing,data engineering,security,Sales and Marketing,Encyclopedias,Management,hard worker,Database Developer,machine learning
Sriram,Male,37,software/technology,no,distro making,testing,hacking,testing,Finance,Childrens,Technical,hard worker,Database Developer,distro making
Srishti kachhara,Female,29,software/technology,no,machine learning,system designing,networks,security,Service Based,Self help,Technical,smart worker,Database Developer,machine learning
Srivatsa Shashikumar,Male,31,software/technology,yes,shell programming,data science,programming,Business process analyst,Web Services,Anthology,Technical,smart worker,Database Developer,shell programming
subham chattaraj,Male,35,software/technology,no,python,database security,IOT,testing,Cloud Services,Drama,Management,hard worker,Database Developer,python
Subhashini M,Female,37,software/technology,no,full stack,data science,Software Engineering,system developer,Service Based,Science fiction,Technical,smart worker,Database Developer,full stack
Sudarshan satpathy,Male,29,software/technology,no,machine learning,web tech,medium,networks,system developer,no,Prayer books,Management,Database Developer,machine learning
Sudhanva Kulkarni,Male,33,software/technology,no,r programming,cloud computing,networks,system developer,Service Based,Mystery,Technical,hard worker,Database Developer,programming
Sudhin Kumar,Male,22,software/technology,no,information security,database security,Management,cloud computing,product development,Cookbooks,Management,hard worker,Database Developer,information security
Sudipta Das,Male,21,software/technology,yes,information security,hacking,cloud computing,security,Web Services,Diaries,Technical,smart worker,Database Developer,information security
Sughosh D J,Male,23,software/technology,no,python,database security,hacking,developer,product development,Anthology,Technical,hard worker,Database Developer,python
Sujit Santaram Maske ,Male,22,software/technology,no,hadoop,testing,programming,cloud computing,Web Services,Horror,Technical,smart worker,Database Developer,hadoop
Sujith ,Male,21,software/technology,yes,python,web tech,poor,programming,system developer,no,Poetry,Management,Database Developer,python
Sujitmaske7071@gmail.com ,Male,20,software/technology,yes,python,database security,IOT,Business process analyst,BPA,Satire,Technical,smart worker,Database Developer,python
Suma Reddy,Female,22,software/technology,yes,machine learning,data science,data engineering,security,Web Services,Comics,Technical,smart worker,Database Developer,machine learning
Sumalatha.A,Female,21,software/technology,no,python,data science,Computer Architecture,Business process analyst,Product based,Poetry,Technical,hard worker,Database Developer,python
Suman,Female,23,software/technology,yes,machine learning,system designing,networks,cloud computing,SAaS services,Religion-Spirituality,Technical,hard worker,Database Developer,machine learning
Sumit Gupta ,Male,20,software/technology,yes,machine learning,system designing,programming,developer,Service Based,Dictionaries,Technical,smart worker,Database Developer,machine learning
Sumitha,Female,22,software/technology,no,app development,testing,hacking,Business process analyst,Finance,Guide,Management,smart worker,Database Developer,ios app development
sunder paal,Male,21,software/technology,yes,machine learning,system designing,networks,testing,Sales and Marketing,Fantasy,Management,smart worker,Database Developer,machine learning
Sunny,Male,23,software/technology,no,python,database security,Computer Architecture,developer,SAaS services,Comics,Technical,smart worker,Database Developer,python
Sunny Dogra,Male,22,software/technology,no,information security,system designing,hacking,system developer,Web Services,Dictionaries,Technical,hard worker,Database Developer,information security
Sunny Mathai,Male,20,software/technology,yes,python,hacking,hacking,testing,BPA,Horror,Technical,hard worker,Database Developer,python
Supreet Kaur Gill,Female,21,software/technology,no,app development,web tech,excellent,cloud computing,testing,yes,Romance,Technical,Database Developer,ios app development
Supriya Behera,Female,23,software/technology,yes,app development,hacking,parallel computing,system developer,Cloud Services,Prayer books,Technical,smart worker,Database Developer,ios app development
Supriya Priyadarshini Pattanayak,Female,22,software/technology,no,hadoop,hacking,hacking,Business process analyst,Finance,Comics,Technical,hard worker,Database Developer,hadoop
Surabhi Priyadarsani ,Female,21,software/technology,yes,r programming,hacking,Software Engineering,security,SAaS services,Mystery,Management,smart worker,Database Developer,programming
SURAJ,Male,22,software/technology,yes,hadoop,database security,hacking,developer,product development,Cookbooks,Technical,hard worker,Database Developer,hadoop
Suraj Bhegade,Male,21,software/technology,no,shell programming,hacking,IOT,system developer,Web Services,Poetry,Management,smart worker,Database Developer,shell programming
Suraj soni,Male,23,software/technology,yes,r programming,hacking,data engineering,testing,Cloud Services,Autobiographies,Technical,hard worker,Database Developer,programming
suraj yadagiri veggalam,Male,22,software/technology,yes,hadoop,data science,Software Engineering,Business process analyst,Product based,Trilogy,Management,smart worker,Database Developer,hadoop
Surashree Dhawa,Female,20,software/technology,yes,hadoop,web tech,excellent,IOT,system developer,no,Prayer books,Management,Database Developer,hadoop
Surekha,Female,21,software/technology,no,shell programming,game development,cloud computing,testing,Product based,Science fiction,Management,hard worker,Database Developer,shell programming
Suriya K,Male,23,software/technology,no,r programming,database security,Management,developer,SAaS services,Biographies,Management,smart worker,Database Developer,programming
Suryakala yenneti,Female,22,software/technology,yes,app development,data science,Management,cloud computing,Product based,Poetry,Technical,smart worker,Database Developer,ios app development
Sushma Reddy,Female,20,software/technology,yes,shell programming,database security,networks,developer,product development,Satire,Technical,smart worker,Database Developer,shell programming
Sushmita verma,Female,21,software/technology,yes,hadoop,database security,data engineering,cloud computing,Service Based,Romance,Technical,smart worker,Database Developer,hadoop
Sushmita verma,Female,23,software/technology,no,distro making,testing,IOT,developer,Finance,Fantasy,Management,smart worker,Database Developer,distro making
Suyog Patil,Male,20,software/technology,yes,hadoop,testing,IOT,system developer,Product based,Journals,Technical,hard worker,Database Developer,hadoop
Swadesh patra,Male,22,software/technology,no,hadoop,database security,hacking,developer,BPA,Guide,Management,hard worker,Database Developer,hadoop
Swagat Mishra,Male,21,software/technology,yes,r programming,data science,Software Engineering,testing,Web Services,Diaries,Technical,smart worker,Database Developer,programming
Swagatika,Female,23,software/technology,no,full stack,cloud computing,programming,security,product development,Romance,Management,hard worker,Database Developer,full stack
Swapnil ,Male,22,software/technology,no,shell programming,data science,IOT,testing,SAaS services,Poetry,Management,hard worker,Database Developer,shell programming
Swapnil karade,Male,21,software/technology,yes,app development,testing,Software Engineering,system developer,Finance,Fantasy,Technical,hard worker,Database Developer,ios app development
Swashata Ojah,Male,20,software/technology,no,machine learning,data science,cloud computing,Business process analyst,Web Services,Prayer books,Management,hard worker,Database Developer,machine learning
Swathi M,Female,23,software/technology,no,full stack,testing,cloud computing,cloud computing,BPA,Math,Technical,smart worker,Database Developer,full stack
Swetha,Female,22,software/technology,no,information security,cloud computing,IOT,developer,BPA,Autobiographies,Management,smart worker,Database Developer,information security
Swetha Sathigari,Female,21,software/technology,yes,machine learning,data science,hacking,cloud computing,Service Based,Childrens,Management,hard worker,Database Developer,machine learning
Syed,Male,22,software/technology,yes,information security,cloud computing,IOT,system developer,Testing and Maintainance Services,Autobiographies,Management,smart worker,Database Developer,information security
Syed Khaja,Male,23,software/technology,yes,distro making,game development,data engineering,Business process analyst,Finance,Trilogy,Management,hard worker,Database Developer,distro making
Syed salman,Male,20,software/technology,no,information security,cloud computing,cloud computing,cloud computing,SAaS services,Autobiographies,Management,hard worker,Database Developer,information security
SYED SHAHBAZ AHMED,Male,22,software/technology,no,information security,system designing,Management,testing,Sales and Marketing,Self help,Technical,hard worker,Database Developer,information security
Syed Shoeb Abrar Ejaz Ahmed,Male,21,software/technology,no,hadoop,game development,Software Engineering,security,Service Based,Biographies,Technical,hard worker,Database Developer,hadoop
T NANAPRATHAP REDDY,Male,23,software/technology,yes,full stack,hacking,IOT,system developer,Web Services,Series,Technical,smart worker,Database Developer,full stack
T. Mohankumar,Male,22,software/technology,no,distro making,web tech,medium,Computer Architecture,developer,no,Anthology,Technical,Database Developer,distro making
T.hemanth,Male,21,software/technology,no,r programming,data science,Software Engineering,cloud computing,Finance,Self help,Management,hard worker,Database Developer,programming
T.Vasanth Kumar,Male,23,software/technology,no,r programming,cloud computing,parallel computing,security,Product based,Fantasy,Management,hard worker,Database Developer,programming
Tabassum Shaikh ,Male,20,software/technology,yes,information security,testing,parallel computing,Business process analyst,Finance,Health,Technical,hard worker,Database Developer,information security
Tadela Abhishek varma,Male,22,software/technology,yes,shell programming,testing,networks,testing,Web Services,Health,Technical,smart worker,Database Developer,shell programming
Talari Bharadvaj,Male,21,software/technology,no,app development,game development,networks,cloud computing,Service Based,Travel,Technical,smart worker,Database Developer,ios app development
Tamil Selvi,Female,23,software/technology,no,shell programming,game development,Management,testing,Finance,Anthology,Management,smart worker,Database Developer,shell programming
Tanmay singh,Male,22,software/technology,yes,app development,system designing,Computer Architecture,developer,product development,Mystery,Management,hard worker,Database Developer,ios app development
Tanupriya Nahal,Male,21,software/technology,yes,full stack,database security,Software Engineering,Business process analyst,BPA,Math,Management,smart worker,Database Developer,full stack
Tanush,Male,20,software/technology,no,information security,web tech,medium,programming,Business process analyst,yes,Autobiographies,Management,Database Developer,information security
Tarun,Male,23,software/technology,yes,full stack,data science,Software Engineering,Business process analyst,Testing and Maintainance Services,Horror,Technical,smart worker,Database Developer,full stack
Tarun Sharma,Male,22,software/technology,yes,python,web tech,excellent,cloud computing,security,yes,Health,Technical,Database Developer,python
Tarun thomas,Male,21,software/technology,yes,r programming,system designing,data engineering,system developer,product development,Mystery,Technical,smart worker,Database Developer,programming
Tayyaba Sayyad ,Female,20,software/technology,no,shell programming,database security,data engineering,Business process analyst,Product based,History,Management,hard worker,Database Developer,shell programming
Tejaswa Verma,Male,22,software/technology,no,hadoop,hacking,programming,Business process analyst,BPA,Health,Management,smart worker,Database Developer,hadoop
Tejaswi Tanaji and,Female,21,software/technology,yes,full stack,hacking,cloud computing,security,Cloud Services,Prayer books,Technical,hard worker,Database Developer,full stack
Thanneru Akhil,Male,20,software/technology,yes,shell programming,cloud computing,Software Engineering,security,SAaS services,Dictionaries,Technical,hard worker,Database Developer,shell programming
Thilak,Male,23,software/technology,yes,r programming,cloud computing,programming,Business process analyst,Finance,Childrens,Management,smart worker,Database Developer,programming
THILAK ARUMUGHAM A G,Male,22,software/technology,no,hadoop,testing,networks,testing,Product based,Prayer books,Management,hard worker,Database Developer,hadoop
Till,Male,21,software/technology,no,python,data science,hacking,testing,Cloud Services,Action and Adventure,Management,smart worker,Database Developer,python
Tulesh Jivani ,Male,22,software/technology,yes,r programming,data science,data engineering,system developer,Sales and Marketing,Religion-Spirituality,Management,smart worker,Database Developer,programming
U Jayashree,Female,20,software/technology,yes,machine learning,system designing,Software Engineering,developer,Sales and Marketing,Encyclopedias,Management,hard worker,Database Developer,machine learning
Umar ansari,Male,21,software/technology,yes,r programming,testing,data engineering,security,Sales and Marketing,Satire,Technical,hard worker,Database Developer,programming
USOLLA ANAND KUMAR,Male,23,software/technology,no,full stack,web tech,poor,parallel computing,security,yes,Autobiographies,Management,Database Developer,full stack
Utkarsh,Male,22,software/technology,no,app development,web tech,excellent,programming,security,yes,Action and Adventure,Management,Database Developer,ios app development
Utkarsh Navneel,Male,20,software/technology,no,machine learning,cloud computing,Computer Architecture,Business process analyst,Service Based,Guide,Technical,hard worker,Database Developer,machine learning
Uttam,Male,21,software/technology,yes,shell programming,hacking,Management,testing,SAaS services,Childrens,Technical,smart worker,Database Developer,shell programming
V. Dharshini,Female,22,software/technology,yes,shell programming,hacking,data engineering,Business process analyst,BPA,History,Management,smart worker,Database Developer,shell programming
V. Rubiya,Female,23,software/technology,yes,full stack,cloud computing,Management,security,SAaS services,Self help,Management,hard worker,Database Developer,full stack
V.Sai Sanjay ,Male,20,software/technology,yes,distro making,testing,hacking,cloud computing,Web Services,Comics,Technical,hard worker,Database Developer,distro making
VADDI harshita ,Female,21,software/technology,no,python,web tech,poor,IOT,developer,yes,Horror,Management,Database Developer,python
Vaibhav Babasaheb Shewale,Male,22,software/technology,no,hadoop,cloud computing,Computer Architecture,security,BPA,Religion-Spirituality,Management,smart worker,Database Developer,hadoop
Vaibhav chitransh ,Male,23,software/technology,yes,full stack,hacking,networks,security,Testing and Maintainance Services,Travel,Technical,hard worker,Database Developer,full stack
vaibhav Patel ,Male,20,software/technology,yes,shell programming,game development,data engineering,system developer,Service Based,Trilogy,Technical,hard worker,Database Developer,shell programming
Vaibhav yerekar,Male,22,software/technology,no,r programming,web tech,excellent,networks,developer,yes,Religion-Spirituality,Technical,Database Developer,programming
Vaidehi Shailesh Kahalekar,Female,21,software/technology,no,information security,web tech,poor,IOT,testing,no,Fantasy,Technical,Database Developer,information security
Vaishali Sharma ,Female,20,software/technology,no,python,data science,parallel computing,testing,Sales and Marketing,Encyclopedias,Management,smart worker,Database Developer,python
Vaishu,Female,23,software/technology,no,hadoop,database security,Software Engineering,system developer,Web Services,Self help,Management,hard worker,Database Developer,hadoop
Vanchha Srivastava,Female,22,software/technology,yes,full stack,hacking,cloud computing,testing,BPA,Diaries,Technical,smart worker,Database Developer,full stack
Vandana misra,Female,21,software/technology,yes,full stack,game development,networks,security,Testing and Maintainance Services,Guide,Technical,hard worker,Database Developer,full stack
Vani Jindal,Female,22,software/technology,no,full stack,hacking,Computer Architecture,developer,SAaS services,Childrens,Technical,smart worker,Database Developer,full stack
Varsha,Female,20,software/technology,yes,information security,game development,data engineering,testing,Product based,Satire,Technical,smart worker,Database Developer,information security
Varsha verma,Female,21,software/technology,no,distro making,cloud computing,Computer Architecture,Business process analyst,Web Services,Journals,Management,hard worker,Database Developer,distro making
Varun kumar ,Male,23,software/technology,yes,r programming,data science,networks,security,Product based,Health,Management,smart worker,Database Developer,programming
VASANTH M,Male,22,software/technology,yes,python,web tech,excellent,programming,developer,no,Anthology,Management,Database Developer,python
Vaseeharan k,Male,20,software/technology,yes,shell programming,data science,cloud computing,Business process analyst,product development,Self help,Technical,hard worker,Database Developer,shell programming
Vasu Padsumbia,Male,21,software/technology,no,r programming,hacking,cloud computing,Business process analyst,Product based,Self help,Technical,hard worker,Database Developer,programming
Velpula Sahadev,Male,22,software/technology,yes,r programming,data science,cloud computing,testing,Cloud Services,Series,Management,smart worker,Database Developer,programming
Venkata Jaswanth,Male,23,software/technology,no,distro making,data science,cloud computing,security,Testing and Maintainance Services,Trilogy,Technical,hard worker,Database Developer,distro making
Venkata Raghotama Rao Manuru,Male,28,software/technology,no,app development,data science,programming,system developer,Cloud Services,Health,Management,hard worker,Database Developer,ios app development
VenkataPrabhudhar ,Male,32,software/technology,no,distro making,web tech,excellent,Computer Architecture,testing,yes,Satire,Technical,Database Developer,distro making
VenkataRamanan K ,Male,24,software/technology,no,full stack,game development,IOT,security,Sales and Marketing,Science,Management,smart worker,Database Developer,full stack
VenkataRamanan K ,Male,26,software/technology,yes,r programming,testing,Software Engineering,system developer,Service Based,Diaries,Management,smart worker,Database Developer,programming
venkatesh,Male,30,software/technology,no,full stack,testing,data engineering,security,Service Based,Science fiction,Technical,smart worker,Database Developer,full stack
venu,Male,27,software/technology,no,python,cloud computing,Software Engineering,developer,SAaS services,Anthology,Management,smart worker,Database Developer,python
Vetrivel. R,Female,35,software/technology,no,hadoop,data science,hacking,Business process analyst,Cloud Services,Dictionaries,Technical,hard worker,Database Developer,hadoop
Vibhuti Nagaich,Female,29,software/technology,yes,machine learning,game development,parallel computing,security,Service Based,Comics,Management,smart worker,Database Developer,machine learning
Vidit Rawat,Male,31,software/technology,no,hadoop,hacking,IOT,system developer,Web Services,Travel,Technical,smart worker,Database Developer,hadoop
Vignesh.R,Male,33,software/technology,no,python,hacking,programming,security,Product based,Autobiographies,Technical,smart worker,Database Developer,python
Vijay ,Male,40,software/technology,yes,python,testing,Computer Architecture,Business process analyst,Web Services,Autobiographies,Management,hard worker,Database Developer,python
Vijay ambekar,Male,22,software/technology,no,machine learning,hacking,Computer Architecture,Business process analyst,Web Services,Guide,Management,hard worker,Database Developer,machine learning
Vijaya gowri,Female,26,software/technology,yes,machine learning,hacking,IOT,Business process analyst,Testing and Maintainance Services,Biographies,Technical,hard worker,Database Developer,machine learning
Vikas Barthwal ,Male,28,software/technology,yes,information security,game development,networks,cloud computing,Finance,Trilogy,Technical,smart worker,Database Developer,information security
Vikash singh,Male,34,software/technology,no,shell programming,hacking,networks,security,Testing and Maintainance Services,Childrens,Technical,smart worker,Database Developer,shell programming
Vikram ,Male,30,software/technology,no,hadoop,cloud computing,Computer Architecture,security,Testing and Maintainance Services,Comics,Management,smart worker,Database Developer,hadoop
Vikram pathak ,Male,29,software/technology,yes,app development,hacking,IOT,Business process analyst,Web Services,Science fiction,Management,hard worker,Database Developer,ios app development
Vinay ,Male,25,software/technology,yes,hadoop,database security,programming,security,Web Services,Autobiographies,Management,hard worker,Database Developer,hadoop
Vinay Kumar,Male,31,software/technology,no,r programming,testing,IOT,developer,SAaS services,Encyclopedias,Management,hard worker,Database Developer,programming
Vineeta,Female,27,software/technology,no,information security,data science,parallel computing,system developer,Product based,Self help,Management,smart worker,Database Developer,information security
Vineeta Nallabati,Female,24,software/technology,no,hadoop,web tech,excellent,Software Engineering,cloud computing,no,Religion-Spirituality,Technical,Database Developer,hadoop
Vinitha Sylvia Pereira,Female,28,software/technology,no,python,cloud computing,parallel computing,testing,Web Services,Art,Management,smart worker,Database Developer,python
Vipin Shankar MA,Male,26,software/technology,yes,machine learning,data science,programming,system developer,Finance,Encyclopedias,Technical,hard worker,Database Developer,machine learning
Vishakha ,Female,32,software/technology,no,full stack,cloud computing,IOT,developer,Cloud Services,Prayer books,Management,hard worker,Database Developer,full stack
vishal,Male,35,software/technology,no,r programming,game development,Management,Business process analyst,BPA,Health,Technical,hard worker,Database Developer,programming
Vishal gawali,Male,29,software/technology,no,machine learning,database security,networks,system developer,Testing and Maintainance Services,Autobiographies,Management,smart worker,Database Developer,machine learning
Vivek Borse ,Male,33,software/technology,no,distro making,data science,parallel computing,Business process analyst,Testing and Maintainance Services,Prayer books,Management,smart worker,Database Developer,distro making
Vivek Pathak,Male,27,software/technology,no,python,cloud computing,Software Engineering,cloud computing,Sales and Marketing,Comics,Technical,hard worker,Database Developer,python
Wajiha,Female,31,software/technology,no,machine learning,data science,Management,Business process analyst,Service Based,Science,Technical,hard worker,Database Developer,machine learning
Washmin,Female,26,software/technology,no,shell programming,cloud computing,hacking,system developer,Product based,Biographies,Technical,smart worker,Database Developer,shell programming
Y Sudha Tejaswini ,Female,30,software/technology,no,hadoop,game development,Management,system developer,Service Based,Self help,Management,smart worker,Database Developer,hadoop
Y Swathi ,Female,24,software/technology,yes,full stack,web tech,medium,cloud computing,system developer,no,Fantasy,Management,Database Developer,full stack
Yadav,Male,28,software/technology,no,full stack,testing,parallel computing,Business process analyst,SAaS services,History,Technical,hard worker,Database Developer,full stack
Yadhunandan B M,Male,29,software/technology,yes,python,game development,Computer Architecture,security,Finance,Biographies,Technical,hard worker,Database Developer,python
Yadhunandan B M,Male,34,software/technology,no,information security,game development,hacking,Business process analyst,Sales and Marketing,Mystery,Management,hard worker,Database Developer,information security
Yalanati Sindhu ,Female,27,software/technology,yes,hadoop,system designing,cloud computing,cloud computing,Testing and Maintainance Services,Cookbooks,Management,hard worker,Database Developer,hadoop
yamini teja,Female,30,software/technology,no,information security,system designing,Computer Architecture,Business process analyst,SAaS services,Guide,Management,smart worker,Database Developer,information security
Yandrapati Naga Vagdevi Divya,Female,32,software/technology,no,information security,database security,networks,developer,Cloud Services,Poetry,Technical,smart worker,Database Developer,information security
Yandrapati.Naga Vagdevi Divya ,Female,28,software/technology,no,distro making,database security,Computer Architecture,cloud computing,Service Based,Journals,Technical,hard worker,Database Developer,distro making
Yash kamwal ,Male,25,software/technology,no,shell programming,hacking,Computer Architecture,cloud computing,BPA,Encyclopedias,Management,hard worker,Database Developer,shell programming
Yash kumar singh,Male,33,software/technology,no,full stack,cloud computing,networks,Business process analyst,Finance,Mystery,Technical,hard worker,Database Developer,full stack
Yashi Sarna,Female,26,software/technology,yes,full stack,database security,networks,developer,Cloud Services,Comics,Technical,hard worker,Database Developer,full stack
Yashi Sarna,Female,29,software/technology,no,machine learning,data science,Management,security,Product based,Math,Technical,smart worker,Database Developer,machine learning
Yasin Shaik ,Male,27,software/technology,no,distro making,testing,hacking,Business process analyst,Finance,Cookbooks,Management,smart worker,Database Developer,distro making
Yasoda Polepalli,Male,31,software/technology,no,full stack,web tech,medium,networks,security,yes,Childrens,Technical,Database Developer,full stack
Yatharth,Male,28,software/technology,yes,r programming,database security,networks,cloud computing,Web Services,Cookbooks,Management,smart worker,Database Developer,programming
Yerraji Rambabu,Male,30,software/technology,yes,python,cloud computing,programming,testing,Testing and Maintainance Services,Trilogy,Management,smart worker,Database Developer,python
Yerram Munisekhar,Male,25,software/technology,yes,r programming,cloud computing,cloud computing,security,Cloud Services,Journals,Management,smart worker,Database Developer,programming
Yogender Prabhu,Male,33,software/technology,yes,hadoop,web tech,poor,networks,developer,no,Religion-Spirituality,Management,Database Developer,hadoop
Yogesh Kulkarni,Male,27,software/technology,no,machine learning,web tech,excellent,data engineering,testing,yes,Math,Technical,Database Developer,machine learning
Your Friend ,Male,32,software/technology,yes,machine learning,testing,Management,system developer,Product based,Science fiction,Management,hard worker,Database Developer,machine learning
Zabi ansari,Male,27,software/technology,yes,machine learning,hacking,programming,system developer,Web Services,Childrens,Management,smart worker,Database Developer,machine learning
Zain,Male,30,software/technology,no,machine learning,system designing,programming,system developer,Sales and Marketing,Travel,Management,smart worker,Database Developer,machine learning
Zayn Shah,Male,26,software/technology,yes,distro making,data science,Software Engineering,Business process analyst,Cloud Services,Art,Technical,smart worker,Database Developer,distro making
Zuben Saldanha ,Male,29,software/technology,no,app development,testing,Software Engineering,system developer,Testing and Maintainance Services,Comics,Technical,hard worker,Database Developer,ios app development
John Doe,Male,28,software/technology,yes,shell programming,cloud computing,Management,security,Cloud Services,Horror,Management,smart worker,Database Developer,shell programming
Jane Smith,Female,32,software/technology,yes,hadoop,game development,networks,Business process analyst,Product based,Romance,Technical,smart worker,Database Developer,hadoop
Bob Johnson,Male,24,software/technology,no,full stack,system designing,data engineering,testing,Sales and Marketing,Trilogy,Technical,hard worker,Database Developer,full stack
Emily Davis,Female,26,software/technology,yes,machine learning,cloud computing,Computer Architecture,system developer,BPA,Autobiographies,Technical,smart worker,Database Developer,machine learning
Michael Brown,Male,30,software/technology,no,shell programming,cloud computing,networks,testing,Product based,Horror,Management,smart worker,Database Developer,shell programming
Sarah Wilson,Female,27,software/technology,no,hadoop,testing,cloud computing,testing,product development,Self help,Technical,smart worker,Database Developer,hadoop
David Lee,Male,35,software/technology,yes,machine learning,cloud computing,hacking,cloud computing,Service Based,Encyclopedias,Management,smart worker,Database Developer,machine learning
Laura Martinez,Female,29,software/technology,yes,hadoop,web tech,medium,programming,testing,yes,Autobiographies,Management,Database Developer,hadoop
Kevin White,Male,31,software/technology,yes,r programming,data science,IOT,testing,product development,Health,Management,smart worker,Database Developer,programming
Karen Thompson,Female,33,software/technology,no,hadoop,data science,IOT,Business process analyst,BPA,Biographies,Technical,smart worker,Database Developer,hadoop
Richard Anderson,Male,40,software/technology,no,python,hacking,networks,testing,BPA,Cookbooks,Technical,smart worker,Database Developer,python
Jessica Taylor,Male,22,software/technology,no,python,web tech,medium,IOT,Business process analyst,no,History,Management,Database Developer,python
Daniel Moore,Female,26,software/technology,no,shell programming,game development,data engineering,Business process analyst,Product based,Diaries,Management,smart worker,Database Developer,shell programming
Olivia Jackson,Male,28,software/technology,no,r programming,testing,IOT,system developer,Sales and Marketing,Journals,Management,smart worker,Database Developer,programming
William Martin,Female,34,software/technology,yes,information security,cloud computing,networks,Business process analyst,Web Services,Drama,Technical,smart worker,Database Developer,information security
Sophia Lee,Male,30,software/technology,yes,information security,database security,parallel computing,Business process analyst,Sales and Marketing,Cookbooks,Management,smart worker,Database Developer,information security
James Perez,Female,29,software/technology,no,hadoop,cloud computing,data engineering,system developer,Service Based,Encyclopedias,Management,smart worker,Database Developer,hadoop
Ava Thompson,Male,25,software/technology,yes,full stack,game development,IOT,cloud computing,BPA,Art,Technical,hard worker,Database Developer,full stack
Henry Gonzalez,Female,31,software/technology,no,r programming,cloud computing,Computer Architecture,security,Cloud Services,Journals,Technical,hard worker,Database Developer,programming
Mia Robinson,Male,27,software/technology,yes,r programming,web tech,excellent,networks,developer,no,Cookbooks,Management,Database Developer,programming
Ethan Clark,Female,24,software/technology,no,r programming,web tech,poor,cloud computing,system developer,no,Science,Technical,Database Developer,programming
Isabella Rodriguez,Male,28,software/technology,yes,hadoop,system designing,programming,cloud computing,Testing and Maintainance Services,Guide,Technical,smart worker,Database Developer,hadoop
Liam Lewis,Male,26,software/technology,no,hadoop,hacking,Software Engineering,Business process analyst,Sales and Marketing,Mystery,Management,hard worker,Database Developer,hadoop
Chloe Walker,Female,32,software/technology,yes,information security,testing,Computer Architecture,cloud computing,Finance,Science,Technical,smart worker,Database Developer,information security
Noah Hall,Male,35,software/technology,no,app development,cloud computing,parallel computing,cloud computing,BPA,Self help,Technical,hard worker,Database Developer,ios app development
Emma Allen,Female,29,software/technology,no,distro making,game development,programming,developer,Web Services,Journals,Technical,smart worker,Database Developer,distro making
Mason Young,Male,33,software/technology,yes,information security,hacking,Computer Architecture,Business process analyst,product development,Art,Technical,hard worker,Database Developer,information security
Harper King,Female,27,software/technology,yes,machine learning,data science,Computer Architecture,cloud computing,Cloud Services,Science,Management,hard worker,Database Developer,machine learning
Lucas Wright,Male,31,software/technology,no,shell programming,system designing,IOT,cloud computing,BPA,Cookbooks,Management,hard worker,Database Developer,shell programming
Amelia Scott,Female,26,software/technology,no,full stack,web tech,excellent,programming,developer,yes,Mystery,Management,Database Developer,full stack
Oliver Green,Male,30,software/technology,no,distro making,database security,Computer Architecture,testing,Web Services,Comics,Technical,smart worker,Database Developer,distro making
Grace Baker,Female,24,software/technology,yes,information security,system designing,hacking,testing,Web Services,Childrens,Management,hard worker,Database Developer,information security
Elijah Adams,Male,28,software/technology,yes,app development,testing,Computer Architecture,security,SAaS services,Fantasy,Technical,hard worker,Database Developer,ios app development
Lily Nelson,Male,29,software/technology,no,information security,cloud computing,parallel computing,testing,Sales and Marketing,Encyclopedias,Management,smart worker,Database Developer,information security
Benjamin Carter,Female,34,software/technology,no,python,data science,cloud computing,system developer,Service Based,Autobiographies,Management,smart worker,Database Developer,python
Ella Mitchell,Male,27,software/technology,yes,python,system designing,Management,Business process analyst,Finance,Guide,Management,smart worker,Database Developer,python
Sebastian Perez,Female,30,software/technology,no,full stack,cloud computing,data engineering,testing,Product based,Trilogy,Management,hard worker,Database Developer,full stack
Victoria Roberts,Male,32,software/technology,yes,machine learning,database security,data engineering,system developer,BPA,Religion-Spirituality,Technical,smart worker,Database Developer,machine learning
Jack Turner,Female,28,software/technology,yes,full stack,cloud computing,Software Engineering,Business process analyst,Service Based,Health,Technical,smart worker,Database Developer,full stack
Aria Phillips,Female,25,software/technology,yes,app development,database security,data engineering,Business process analyst,Finance,Cookbooks,Management,smart worker,Database Developer,ios app development
Samuel Campbell,Male,33,software/technology,yes,information security,hacking,data engineering,Business process analyst,Service Based,Romance,Management,hard worker,Database Developer,information security
Zoe Parker,Female,26,software/technology,yes,information security,game development,data engineering,Business process analyst,product development,Satire,Management,hard worker,Database Developer,information security
Adam Evans,Male,29,software/technology,no,r programming,game development,IOT,cloud computing,Cloud Services,Dictionaries,Technical,hard worker,Database Developer,programming
Natalie Edwards,Female,27,software/technology,no,r programming,hacking,Software Engineering,testing,SAaS services,Series,Technical,hard worker,Database Developer,programming
Aaron Collins,Male,31,software/technology,no,distro making,testing,parallel computing,developer,BPA,Guide,Management,hard worker,Database Developer,distro making
Scarlett Stewart,Female,28,software/technology,yes,shell programming,database security,Computer Architecture,security,product development,Action and Adventure,Technical,smart worker,Database Developer,shell programming
Isaiah Sanchez,Male,30,software/technology,yes,python,data science,IOT,cloud computing,product development,Satire,Management,hard worker,Database Developer,python
Nora Morris,Female,25,software/technology,no,app development,cloud computing,Software Engineering,system developer,Testing and Maintainance Services,Mystery,Technical,smart worker,Database Developer,ios app development
Julian Rogers,Male,33,software/technology,yes,machine learning,hacking,Software Engineering,security,SAaS services,Horror,Technical,smart worker,Database Developer,machine learning
